StockCode,Description,总销量,总销售额,订单数,购买客户数,排名,销售额占比,累计占比
22423,REGENCY CAKESTAND 3 TIER,12402,142592.95,1703,881,1,1.65,1.65
85123A,WHITE HANGING HEART T-LIGHT HOLDER,36725,100448.15,1971,856,2,1.16,2.82
85099B,JUMBO BAG RED RETROSPOT,46181,85220.78,1600,635,3,0.99,3.81
POST,POSTAGE,3120,77803.96,1099,331,4,0.9,4.71
47566,PARTY BUNTING,15291,68844.33,1379,708,5,0.8,5.51
84879,ASSORTED COLOUR BIRD ORNAMENT,35362,56580.34,1375,678,6,0.66,6.16
M,Manual,7173,53779.93,253,197,7,0.62,6.78
23084,RABBIT NIGHT LIGHT,27202,51346.2,801,450,8,0.6,7.38
79321,CHILLI LIGHTS,9650,46286.51,519,205,9,0.54,7.92
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15617,42660.83,980,613,10,0.49,8.41
21137,BLACK RECORD COVER FRAME,11406,39064.55,313,140,11,0.45,8.86
22386,JUMBO BAG PINK POLKADOT,20165,37289.59,871,372,12,0.43,9.3
23284,DOORMAT KEEP CALM AND COME IN,5342,35913.85,648,378,13,0.42,9.71
23298,SPOTTY BUNTING,7639,35539.25,1003,571,14,0.41,10.12
82484,WOOD BLACK BOARD ANT WHITE FINISH,5921,34478.01,604,285,15,0.4,10.52
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7020,33347.8,1146,640,16,0.39,10.91
22960,JAM MAKING SET WITH JARS,8151,32662.97,878,573,17,0.38,11.29
85099F,JUMBO BAG STRAWBERRY,16807,30644.2,654,315,18,0.36,11.64
22178,VICTORIAN GLASS HANGING T-LIGHT,22433,28776.51,815,403,19,0.33,11.98
22470,HEART OF WICKER LARGE,9591,28520.95,801,485,20,0.33,12.31
22469,HEART OF WICKER SMALL,16775,28228.64,961,573,21,0.33,12.64
20725,LUNCH BAG RED RETROSPOT,17697,28048.45,1288,532,22,0.33,12.96
23245,SET OF 3 REGENCY CAKE TINS,5856,26625.68,718,472,23,0.31,13.27
23199,JUMBO BAG APPLES,13887,26451.26,718,344,24,0.31,13.58
22727,ALARM CLOCK BAKELIKE RED ,7221,25925.2,877,388,25,0.3,13.88
