CustomerID,订单数,购买商品数,总消费金额,平均订单行金额,平均客单价,首次购买日期,最近购买日期,客户分层
12347.0,7,2458,4310.0,23.68,615.71,2010-12-07 14:57:00,2011-12-07 15:52:00,高价值客户
12348.0,4,2341,1797.24,57.98,449.31,2010-12-16 19:09:00,2011-09-25 13:13:00,中价值客户
12349.0,1,631,1757.55,24.08,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,中价值客户
12350.0,1,197,334.4,19.67,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,低价值客户
12352.0,8,536,2506.04,29.48,313.25,2011-02-16 12:33:00,2011-11-03 14:37:00,中价值客户
12353.0,1,20,89.0,22.25,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,低价值客户
12354.0,1,530,1079.4,18.61,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,中价值客户
12355.0,1,240,459.4,35.34,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,低价值客户
12356.0,3,1591,2811.43,47.65,937.14,2011-01-18 09:50:00,2011-11-17 08:40:00,中价值客户
12357.0,1,2708,6207.67,47.39,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,高价值客户
12358.0,2,248,1168.06,61.48,584.03,2011-07-12 10:04:00,2011-12-08 10:26:00,中价值客户
12359.0,4,1622,6372.58,25.7,1593.14,2011-01-12 12:43:00,2011-10-13 12:47:00,高价值客户
12360.0,3,1165,2662.06,20.64,887.35,2011-05-23 09:43:00,2011-10-18 15:22:00,中价值客户
12361.0,1,91,189.9,18.99,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,低价值客户
12362.0,10,2229,5226.23,19.65,522.62,2011-02-17 10:30:00,2011-12-06 15:40:00,高价值客户
12363.0,2,408,552.0,24.0,276.0,2011-04-11 13:29:00,2011-08-22 10:18:00,低价值客户
12364.0,4,1506,1313.1,15.45,328.27,2011-08-19 15:24:00,2011-12-02 10:22:00,中价值客户
12365.0,2,174,641.38,29.15,320.69,2011-02-21 13:51:00,2011-02-21 14:04:00,低价值客户
12367.0,1,173,168.9,15.35,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,低价值客户
12370.0,4,2353,3545.69,21.23,886.42,2010-12-14 12:58:00,2011-10-19 14:51:00,中价值客户
12371.0,2,591,1887.96,29.97,943.98,2011-10-11 10:43:00,2011-10-26 10:16:00,中价值客户
12372.0,3,794,1298.04,24.96,432.68,2011-02-16 12:46:00,2011-09-29 12:12:00,中价值客户
12373.0,1,197,364.6,26.04,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,低价值客户
12374.0,1,342,742.93,22.51,742.93,2011-11-14 15:37:00,2011-11-14 15:37:00,中价值客户
12375.0,2,178,457.5,26.91,228.75,2011-09-02 14:23:00,2011-11-29 10:36:00,低价值客户
12377.0,2,944,1628.12,21.14,814.06,2010-12-20 09:37:00,2011-01-28 15:45:00,中价值客户
12378.0,1,2529,4008.62,18.3,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,高价值客户
12379.0,2,407,852.24,21.31,426.12,2011-06-22 16:32:00,2011-09-19 10:09:00,中价值客户
12380.0,4,1127,2724.81,26.2,681.2,2011-06-07 09:49:00,2011-11-18 11:27:00,中价值客户
12381.0,5,808,1845.31,21.21,369.06,2011-08-12 09:57:00,2011-12-05 12:44:00,中价值客户
12383.0,5,1532,1850.56,18.69,370.11,2010-12-22 14:28:00,2011-06-08 08:02:00,中价值客户
12384.0,2,126,585.27,21.68,292.63,2011-08-10 11:23:00,2011-11-11 08:39:00,低价值客户
12386.0,2,354,401.9,40.19,200.95,2010-12-08 09:53:00,2011-01-06 12:37:00,低价值客户
12388.0,6,1462,2780.66,27.81,463.44,2011-01-17 11:12:00,2011-11-24 12:30:00,中价值客户
12390.0,1,353,549.84,17.18,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,低价值客户
12391.0,1,300,460.89,4.61,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,低价值客户
12393.0,4,816,1582.6,24.73,395.65,2011-01-11 09:47:00,2011-09-28 15:41:00,中价值客户
12394.0,2,819,1272.48,47.13,636.24,2011-05-06 14:01:00,2011-10-07 08:08:00,中价值客户
12395.0,12,2118,3018.63,19.35,251.55,2010-12-03 16:35:00,2011-11-20 15:21:00,中价值客户
12397.0,2,1263,2409.9,19.13,1204.95,2011-07-27 14:21:00,2011-11-04 09:52:00,中价值客户
