CustomerID,本次购买日期,距今天数
12347.0,2011-12-07,2
12348.0,2011-09-25,75
12349.0,2011-11-21,18
12350.0,2011-02-02,310
12352.0,2011-11-03,36
12353.0,2011-05-19,204
12354.0,2011-04-21,232
12355.0,2011-05-09,214
12356.0,2011-11-17,22
12357.0,2011-11-06,33
12358.0,2011-12-08,1
12359.0,2011-10-13,57
12360.0,2011-10-18,52
12361.0,2011-02-25,287
12362.0,2011-12-06,3
12363.0,2011-08-22,109
12364.0,2011-12-02,7
12365.0,2011-02-21,291
12367.0,2011-12-05,4
12370.0,2011-10-19,51
12371.0,2011-10-26,44
12372.0,2011-09-29,71
12373.0,2011-02-01,311
12374.0,2011-11-14,25
12375.0,2011-11-29,10
12377.0,2011-01-28,315
12378.0,2011-08-02,129
12379.0,2011-09-19,81
12380.0,2011-11-18,21
12381.0,2011-12-05,4
12383.0,2011-06-08,184
12384.0,2011-11-11,28
12386.0,2011-01-06,337
12388.0,2011-11-24,15
12390.0,2011-09-21,79
12391.0,2011-11-18,21
12393.0,2011-09-28,72
12394.0,2011-10-07,63
12395.0,2011-11-20,19
12397.0,2011-11-04,35
12398.0,2011-10-25,45
12399.0,2011-08-12,119
12401.0,2011-02-09,303
12402.0,2011-01-20,323
12403.0,2011-10-21,49
12405.0,2011-07-14,148
12406.0,2011-11-17,22
12407.0,2011-10-21,49
12408.0,2011-11-07,32
12409.0,2011-09-22,78
12410.0,2011-02-04,308
12412.0,2011-09-26,74
12413.0,2011-10-04,66
12414.0,2011-05-06,217
12415.0,2011-11-15,24
12417.0,2011-12-06,3
12418.0,2011-08-19,112
12420.0,2011-10-07,63
12421.0,2011-11-24,15
12422.0,2011-09-05,95
12423.0,2011-12-09,0
12424.0,2011-06-30,162
12425.0,2011-09-22,78
12426.0,2011-05-29,194
12427.0,2011-11-18,21
12428.0,2011-11-14,25
12429.0,2011-11-30,9
12430.0,2011-10-27,43
12431.0,2011-11-04,35
12432.0,2011-10-28,42
12433.0,2011-12-09,0
12434.0,2011-09-16,84
12435.0,2011-09-21,79
12436.0,2011-09-01,99
12437.0,2011-12-08,1
12438.0,2011-11-25,14
12441.0,2010-12-08,366
12442.0,2011-12-06,3
12444.0,2011-11-18,21
12445.0,2011-11-17,22
12446.0,2011-10-13,57
12447.0,2011-04-10,243
12448.0,2011-10-26,44
12449.0,2011-11-17,22
12450.0,2011-07-06,156
12451.0,2011-11-29,10
12452.0,2011-11-23,16
12453.0,2011-07-28,134
12454.0,2011-10-14,56
12455.0,2011-09-27,73
12456.0,2011-10-26,44
12457.0,2011-10-04,66
12458.0,2011-09-29,71
12461.0,2011-09-06,94
12462.0,2011-11-21,18
12463.0,2011-10-17,53
12464.0,2011-11-29,10
12465.0,2011-11-22,17
12468.0,2011-06-05,187
12471.0,2011-12-07,2
12472.0,2011-11-07,32
12473.0,2011-11-10,29
12474.0,2011-11-22,17
12475.0,2011-10-17,53
12476.0,2011-11-24,15
12477.0,2011-11-17,22
12478.0,2011-12-06,3
12479.0,2011-11-28,11
12480.0,2011-11-11,28
12481.0,2011-11-17,22
12483.0,2011-11-22,17
12484.0,2011-11-07,32
12488.0,2011-11-30,9
12489.0,2011-01-07,336
12490.0,2011-12-04,5
12491.0,2011-11-01,38
12492.0,2011-10-07,63
12493.0,2011-06-27,165
12494.0,2011-11-24,15
12497.0,2011-09-19,81
12498.0,2011-11-18,21
12500.0,2011-11-16,23
12501.0,2011-01-07,336
12502.0,2011-09-05,95
12504.0,2011-11-21,18
12506.0,2011-04-21,232
12507.0,2011-07-28,134
12508.0,2011-11-13,26
12509.0,2011-02-28,284
12510.0,2011-07-20,142
12512.0,2011-10-04,66
12513.0,2011-08-19,112
12514.0,2011-03-17,267
12515.0,2010-12-21,353
12516.0,2011-09-23,77
12517.0,2011-11-11,28
12518.0,2011-12-09,0
12519.0,2011-10-07,63
12520.0,2011-09-21,79
12521.0,2011-07-20,142
12522.0,2011-10-31,39
12523.0,2011-11-20,19
12524.0,2011-11-30,9
12526.0,2011-12-09,0
12527.0,2011-09-19,81
12528.0,2011-11-30,9
12530.0,2011-10-11,59
12531.0,2011-11-25,14
12532.0,2011-11-09,30
12534.0,2011-08-01,130
12535.0,2011-09-09,91
12536.0,2011-10-27,43
12538.0,2011-11-10,29
12539.0,2011-11-17,22
12540.0,2011-11-20,19
12541.0,2011-11-10,29
12544.0,2011-11-03,36
12545.0,2011-09-25,75
12546.0,2011-10-24,46
12547.0,2011-05-26,197
12548.0,2011-06-26,166
12550.0,2011-09-21,79
12551.0,2010-12-17,357
12552.0,2011-11-01,38
12553.0,2011-12-01,8
12556.0,2011-10-20,50
12557.0,2011-11-23,16
12558.0,2011-12-02,7
12559.0,2011-02-02,310
12560.0,2011-12-04,5
12561.0,2011-02-10,302
12562.0,2011-12-01,8
12564.0,2011-03-23,261
12565.0,2011-02-24,288
12566.0,2011-09-14,86
12567.0,2011-11-17,22
12569.0,2011-12-07,2
12571.0,2011-10-31,39
12572.0,2011-12-01,8
12573.0,2011-04-26,227
12574.0,2011-01-28,315
12576.0,2011-11-04,35
12577.0,2011-11-04,35
12578.0,2011-11-18,21
12579.0,2011-09-22,78
12580.0,2011-04-07,246
12581.0,2011-10-31,39
