CustomerID,本次购买日期,上次购买日期,间隔天数
12347.0,2011-01-26,2010-12-07,50.0
12347.0,2011-04-07,2011-01-26,71.0
12347.0,2011-06-09,2011-04-07,63.0
12347.0,2011-08-02,2011-06-09,54.0
12347.0,2011-10-31,2011-08-02,90.0
12347.0,2011-12-07,2011-10-31,37.0
12348.0,2011-01-25,2010-12-16,40.0
12348.0,2011-04-05,2011-01-25,70.0
12348.0,2011-09-25,2011-04-05,173.0
12352.0,2011-03-01,2011-02-16,13.0
12352.0,2011-03-17,2011-03-01,16.0
12352.0,2011-03-22,2011-03-17,5.0
12352.0,2011-09-20,2011-03-22,182.0
12352.0,2011-09-28,2011-09-20,8.0
12352.0,2011-11-03,2011-09-28,36.0
12356.0,2011-04-08,2011-01-18,80.0
12356.0,2011-11-17,2011-04-08,223.0
12358.0,2011-12-08,2011-07-12,149.0
12359.0,2011-02-07,2011-01-12,26.0
12359.0,2011-06-03,2011-02-07,116.0
12359.0,2011-10-13,2011-06-03,132.0
12360.0,2011-08-19,2011-05-23,88.0
12360.0,2011-10-18,2011-08-19,60.0
12362.0,2011-04-28,2011-02-17,70.0
12362.0,2011-07-07,2011-04-28,70.0
12362.0,2011-08-11,2011-07-07,35.0
12362.0,2011-09-28,2011-08-11,48.0
12362.0,2011-10-11,2011-09-28,13.0
12362.0,2011-10-26,2011-10-11,15.0
12362.0,2011-10-28,2011-10-26,2.0
12362.0,2011-11-04,2011-10-28,7.0
12362.0,2011-12-06,2011-11-04,32.0
12363.0,2011-08-22,2011-04-11,133.0
12364.0,2011-09-22,2011-08-19,34.0
12364.0,2011-10-30,2011-09-22,38.0
12364.0,2011-12-02,2011-10-30,33.0
12370.0,2010-12-17,2010-12-14,3.0
12370.0,2011-03-10,2010-12-17,83.0
12370.0,2011-10-19,2011-03-10,223.0
12371.0,2011-10-26,2011-10-11,15.0
12372.0,2011-05-11,2011-02-16,84.0
12372.0,2011-09-29,2011-05-11,141.0
12375.0,2011-11-29,2011-09-02,88.0
12377.0,2011-01-28,2010-12-20,39.0
12379.0,2011-09-19,2011-06-22,89.0
12380.0,2011-09-22,2011-06-07,107.0
12380.0,2011-10-14,2011-09-22,22.0
12380.0,2011-11-18,2011-10-14,35.0
12381.0,2011-10-11,2011-08-12,60.0
12381.0,2011-10-12,2011-10-11,1.0
12381.0,2011-11-06,2011-10-12,25.0
12381.0,2011-12-05,2011-11-06,29.0
12383.0,2011-01-12,2010-12-22,21.0
12383.0,2011-03-14,2011-01-12,61.0
12383.0,2011-04-15,2011-03-14,32.0
12383.0,2011-06-08,2011-04-15,54.0
12384.0,2011-11-11,2011-08-10,93.0
12386.0,2011-01-06,2010-12-08,29.0
12388.0,2011-02-07,2011-01-17,21.0
12388.0,2011-03-09,2011-02-07,30.0
12388.0,2011-07-14,2011-03-09,127.0
12388.0,2011-09-25,2011-07-14,73.0
12388.0,2011-11-24,2011-09-25,60.0
12393.0,2011-01-14,2011-01-11,3.0
12393.0,2011-04-08,2011-01-14,84.0
12393.0,2011-09-28,2011-04-08,173.0
12394.0,2011-10-07,2011-05-06,154.0
12395.0,2010-12-17,2010-12-03,14.0
12395.0,2011-02-11,2010-12-17,56.0
12395.0,2011-03-23,2011-02-11,40.0
12395.0,2011-05-05,2011-03-23,43.0
12395.0,2011-05-12,2011-05-05,7.0
12395.0,2011-06-30,2011-05-12,49.0
12395.0,2011-08-19,2011-06-30,50.0
12395.0,2011-10-04,2011-08-19,46.0
12395.0,2011-11-08,2011-10-04,35.0
12395.0,2011-11-20,2011-11-08,12.0
12397.0,2011-11-04,2011-07-27,100.0
12399.0,2011-05-10,2011-03-23,48.0
12399.0,2011-06-09,2011-05-10,30.0
12399.0,2011-08-12,2011-06-09,64.0
12406.0,2011-11-17,2011-06-09,161.0
12407.0,2011-04-18,2011-03-20,29.0
12407.0,2011-07-06,2011-04-18,79.0
12407.0,2011-07-28,2011-07-06,22.0
12407.0,2011-10-21,2011-07-28,85.0
12408.0,2011-06-17,2011-03-24,85.0
12408.0,2011-09-02,2011-06-17,77.0
12408.0,2011-11-07,2011-09-02,66.0
12409.0,2011-09-21,2011-06-10,103.0
12409.0,2011-09-22,2011-09-21,1.0
12412.0,2011-07-25,2011-06-23,32.0
12412.0,2011-09-26,2011-07-25,63.0
12413.0,2011-04-17,2011-01-06,101.0
12413.0,2011-10-04,2011-04-17,170.0
12414.0,2011-04-26,2011-02-02,83.0
12414.0,2011-05-06,2011-04-26,10.0
12415.0,2011-01-10,2011-01-06,4.0
12415.0,2011-02-15,2011-01-10,36.0
12415.0,2011-03-03,2011-02-15,16.0
12415.0,2011-04-01,2011-03-03,29.0
12415.0,2011-05-17,2011-04-01,46.0
12415.0,2011-05-20,2011-05-17,3.0
12415.0,2011-06-15,2011-05-20,26.0
12415.0,2011-07-13,2011-06-15,28.0
12415.0,2011-07-19,2011-07-13,6.0
12415.0,2011-08-18,2011-07-19,30.0
12415.0,2011-09-01,2011-08-18,14.0
12415.0,2011-10-05,2011-09-01,34.0
12415.0,2011-11-02,2011-10-05,28.0
12415.0,2011-11-03,2011-11-02,1.0
12415.0,2011-11-15,2011-11-03,12.0
12417.0,2011-01-25,2010-12-17,39.0
12417.0,2011-03-03,2011-01-25,37.0
12417.0,2011-04-28,2011-03-03,56.0
12417.0,2011-06-05,2011-04-28,38.0
12417.0,2011-08-04,2011-06-05,60.0
12417.0,2011-08-25,2011-08-04,21.0
12417.0,2011-10-31,2011-08-25,67.0
12417.0,2011-12-06,2011-10-31,36.0
12421.0,2011-06-19,2011-01-24,146.0
12421.0,2011-08-17,2011-06-19,59.0
12421.0,2011-11-24,2011-08-17,99.0
12422.0,2011-06-24,2011-01-19,156.0
12422.0,2011-09-05,2011-06-24,73.0
12423.0,2011-02-21,2010-12-21,62.0
12423.0,2011-03-21,2011-02-21,28.0
12423.0,2011-04-07,2011-03-21,17.0
12423.0,2011-05-23,2011-04-07,46.0
12423.0,2011-06-01,2011-05-23,9.0
12423.0,2011-08-31,2011-06-01,91.0
12423.0,2011-12-09,2011-08-31,100.0
12427.0,2011-10-10,2010-12-03,311.0
12427.0,2011-11-18,2011-10-10,39.0
12428.0,2011-03-20,2011-03-01,19.0
12428.0,2011-03-30,2011-03-20,10.0
12428.0,2011-04-11,2011-03-30,12.0
12428.0,2011-07-05,2011-04-11,85.0
12428.0,2011-08-11,2011-07-05,37.0
12428.0,2011-11-14,2011-08-11,95.0
12429.0,2011-04-26,2010-12-09,138.0
12429.0,2011-06-20,2011-04-26,55.0
12429.0,2011-11-30,2011-06-20,163.0
12431.0,2010-12-17,2010-12-01,16.0
12431.0,2011-01-28,2010-12-17,42.0
12431.0,2011-02-17,2011-01-28,20.0
12431.0,2011-02-27,2011-02-17,10.0
12431.0,2011-05-12,2011-02-27,74.0
12431.0,2011-05-23,2011-05-12,11.0
12431.0,2011-07-19,2011-05-23,57.0
12431.0,2011-07-24,2011-07-19,5.0
12431.0,2011-07-26,2011-07-24,2.0
12431.0,2011-08-12,2011-07-26,17.0
12431.0,2011-10-06,2011-08-12,55.0
12431.0,2011-10-10,2011-10-06,4.0
12431.0,2011-11-04,2011-10-10,25.0
12432.0,2011-06-22,2011-06-20,2.0
12432.0,2011-10-28,2011-06-22,128.0
12433.0,2010-12-08,2010-12-01,7.0
12433.0,2011-09-09,2010-12-08,275.0
12433.0,2011-10-27,2011-09-09,48.0
12433.0,2011-11-30,2011-10-27,34.0
12433.0,2011-12-09,2011-11-30,9.0
12434.0,2011-09-16,2011-03-24,176.0
12435.0,2011-09-21,2011-03-17,188.0
12437.0,2011-02-02,2011-01-12,21.0
12437.0,2011-02-23,2011-02-02,21.0
12437.0,2011-03-16,2011-02-23,21.0
12437.0,2011-04-28,2011-03-16,43.0
12437.0,2011-05-18,2011-04-28,20.0
12437.0,2011-05-25,2011-05-18,7.0
12437.0,2011-06-15,2011-05-25,21.0
12437.0,2011-09-02,2011-06-15,79.0
12437.0,2011-09-22,2011-09-02,20.0
12437.0,2011-10-27,2011-09-22,35.0
12437.0,2011-11-03,2011-10-27,7.0
12437.0,2011-11-18,2011-11-03,15.0
12437.0,2011-11-30,2011-11-18,12.0
12437.0,2011-12-08,2011-11-30,8.0
12438.0,2011-11-25,2011-07-22,126.0
12444.0,2011-08-10,2011-06-21,50.0
12444.0,2011-09-15,2011-08-10,36.0
12444.0,2011-10-12,2011-09-15,27.0
12444.0,2011-11-18,2011-10-12,37.0
12449.0,2011-08-02,2011-06-05,58.0
12449.0,2011-09-09,2011-08-02,38.0
12449.0,2011-11-17,2011-09-09,69.0
12450.0,2011-07-06,2011-06-19,17.0
12451.0,2011-05-05,2011-01-19,106.0
12451.0,2011-10-05,2011-05-05,153.0
12451.0,2011-11-18,2011-10-05,44.0
12451.0,2011-11-29,2011-11-18,11.0
12455.0,2011-02-17,2011-02-16,1.0
12455.0,2011-06-03,2011-02-17,106.0
12455.0,2011-07-06,2011-06-03,33.0
12455.0,2011-08-04,2011-07-06,29.0
12455.0,2011-09-27,2011-08-04,54.0
12456.0,2011-07-31,2011-03-30,123.0
12456.0,2011-10-26,2011-07-31,87.0
12457.0,2011-04-15,2011-04-14,1.0
12457.0,2011-04-20,2011-04-15,5.0
12457.0,2011-09-14,2011-04-20,147.0
12457.0,2011-09-15,2011-09-14,1.0
12457.0,2011-09-19,2011-09-15,4.0
12457.0,2011-10-04,2011-09-19,15.0
12458.0,2011-09-29,2011-02-28,213.0
12461.0,2011-09-06,2011-07-08,60.0
12462.0,2011-11-21,2011-02-09,285.0
12463.0,2011-05-17,2011-04-12,35.0
12463.0,2011-06-17,2011-05-17,31.0
12463.0,2011-10-17,2011-06-17,122.0
12464.0,2011-02-28,2011-02-03,25.0
12464.0,2011-05-23,2011-02-28,84.0
12464.0,2011-07-13,2011-05-23,51.0
12464.0,2011-08-25,2011-07-13,43.0
12464.0,2011-11-17,2011-08-25,84.0
12464.0,2011-11-29,2011-11-17,12.0
12465.0,2011-11-22,2011-06-23,152.0
12468.0,2011-06-05,2011-01-27,129.0
12471.0,2010-12-17,2010-12-10,7.0
12471.0,2011-01-13,2010-12-17,27.0
12471.0,2011-02-03,2011-01-13,21.0
12471.0,2011-02-23,2011-02-03,20.0
12471.0,2011-03-18,2011-02-23,23.0
12471.0,2011-04-04,2011-03-18,17.0
12471.0,2011-05-13,2011-04-04,39.0
12471.0,2011-07-04,2011-05-13,52.0
12471.0,2011-07-07,2011-07-04,3.0
12471.0,2011-08-22,2011-07-07,46.0
12471.0,2011-08-24,2011-08-22,2.0
12471.0,2011-09-16,2011-08-24,23.0
12471.0,2011-09-22,2011-09-16,6.0
